time	V(vo)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-004	0.000000e+000
1.000729881542807e-004	7.274028e-002
1.001459763085614e-004	1.450283e-001
1.002189644628421e-004	2.168641e-001
1.002919526171228e-004	2.882477e-001
1.003649407714035e-004	3.591791e-001
1.004379289256842e-004	4.296582e-001
1.005109170799649e-004	4.996851e-001
1.010000000000000e-004	9.655019e-001
1.013423580440246e-004	9.424838e-001
1.017336243800527e-004	9.169875e-001
1.025161570521089e-004	8.680135e-001
1.034927195521089e-004	8.101203e-001
1.044692820521089e-004	7.558706e-001
1.054458445521089e-004	7.052357e-001
1.064224070521089e-004	6.579923e-001
1.073989695521089e-004	6.139309e-001
1.083755320521089e-004	5.728549e-001
1.093520945521089e-004	5.345798e-001
1.103286570521089e-004	4.989321e-001
1.113052195521089e-004	4.657496e-001
1.122817820521089e-004	4.348795e-001
1.132583445521089e-004	4.061786e-001
1.142349070521089e-004	3.795126e-001
1.152114695521089e-004	3.547553e-001
1.161880320521089e-004	3.317882e-001
1.171645945521089e-004	3.105003e-001
1.181411570521089e-004	2.907874e-001
1.191177195521089e-004	2.725514e-001
1.200942820521089e-004	2.557006e-001
1.210708445521089e-004	2.401488e-001
1.220474070521089e-004	2.258150e-001
1.230239695521089e-004	2.126232e-001
1.240005320521089e-004	2.005024e-001
1.249770945521089e-004	1.893854e-001
1.259536570521089e-004	1.792096e-001
1.279067820521089e-004	1.614495e-001
1.298599070521089e-004	1.467928e-001
1.318130320521089e-004	1.348616e-001
1.337661570521089e-004	1.253230e-001
1.357192820521089e-004	1.178838e-001
1.376724070521089e-004	1.122857e-001
1.396255320521089e-004	1.083014e-001
1.415786570521089e-004	1.057306e-001
1.435317820521089e-004	1.043970e-001
1.464614695521089e-004	1.043818e-001
1.493911570521089e-004	1.063570e-001
1.523208445521089e-004	1.099525e-001
1.552505320521090e-004	1.148627e-001
1.581802195521090e-004	1.208349e-001
1.606913802663947e-004	1.268237e-001
1.632025409806804e-004	1.331348e-001
1.657137016949661e-004	1.397681e-001
1.682248624092518e-004	1.467238e-001
1.707360231235375e-004	1.540018e-001
1.732471838378233e-004	1.616022e-001
1.757583445521090e-004	1.695248e-001
1.793855766949661e-004	1.811050e-001
1.830128088378233e-004	1.927121e-001
1.866400409806804e-004	2.043461e-001
1.902672731235376e-004	2.160071e-001
1.938945052663947e-004	2.276951e-001
1.975217374092519e-004	2.394100e-001
2.011489695521090e-004	2.511519e-001
2.089614695521090e-004	2.759275e-001
2.167739695521090e-004	3.000138e-001
2.245864695521090e-004	3.234108e-001
2.323989695521090e-004	3.461186e-001
2.402114695521090e-004	3.681371e-001
2.480239695521090e-004	3.894663e-001
2.558364695521090e-004	4.101062e-001
2.767628088378233e-004	4.611355e-001
2.976891481235377e-004	5.085056e-001
3.186154874092519e-004	5.522165e-001
3.395418266949662e-004	5.922682e-001
3.604681659806806e-004	6.286606e-001
3.813945052663949e-004	6.613939e-001
4.023208445521091e-004	6.904679e-001
4.239447284806806e-004	7.180756e-001
4.455686124092520e-004	7.436513e-001
4.671924963378235e-004	7.671949e-001
4.888163802663950e-004	7.887065e-001
5.104402641949664e-004	8.081861e-001
5.320641481235378e-004	8.256337e-001
5.536880320521092e-004	8.410492e-001
5.761489695521092e-004	8.557298e-001
5.986099070521093e-004	8.692981e-001
6.210708445521093e-004	8.817541e-001
6.435317820521093e-004	8.930977e-001
6.659927195521093e-004	9.033290e-001
6.884536570521095e-004	9.124480e-001
7.109145945521094e-004	9.204546e-001
7.349101302663951e-004	9.282585e-001
7.589056659806808e-004	9.354410e-001
7.829012016949666e-004	9.420020e-001
8.068967374092524e-004	9.479415e-001
8.308922731235381e-004	9.532595e-001
8.548878088378238e-004	9.579561e-001
8.788833445521095e-004	9.620312e-001
8.914391481235381e-004	9.640597e-001
9.039949516949667e-004	9.659922e-001
9.165507552663952e-004	9.678288e-001
9.291065588378239e-004	9.695694e-001
9.416623624092525e-004	9.712140e-001
9.542181659806810e-004	9.727626e-001
9.667739695521096e-004	9.742153e-001
9.677505320521096e-004	9.743259e-001
9.999770945521070e-004	9.777223e-001
1.000000000000000e-003	9.777246e-001
